valid_time,vit,number,expver
2000-01-01,2426951.8,0,0001
2000-02-01,2431715.8,0,0001
2000-03-01,2435736.2,0,0001
2000-04-01,2437743.8,0,0001
2000-05-01,2442335.8,0,0001
2000-06-01,2450260.8,0,0001
2000-07-01,2452841.5,0,0001
2000-08-01,2447926.8,0,0001
2000-09-01,2439445.8,0,0001
2000-10-01,2432054.5,0,0001
2000-11-01,2436597.8,0,0001
2000-12-01,2438941.5,0,0001
2001-01-01,2434679.8,0,0001
2001-02-01,2441226.8,0,0001
2001-03-01,2437503.5,0,0001
2001-04-01,2436619.2,0,0001
2001-05-01,2445945.2,0,0001
2001-06-01,2450764.2,0,0001
2001-07-01,2454829.2,0,0001
2001-08-01,2449564.5,0,0001
2001-09-01,2440778.5,0,0001
2001-10-01,2430625.2,0,0001
2001-11-01,2428002.5,0,0001
2001-12-01,2434322.5,0,0001
2002-01-01,2438555.8,0,0001
2002-02-01,2435399.5,0,0001
2002-03-01,2440153.5,0,0001
2002-04-01,2439401.0,0,0001
2002-05-01,2450966.2,0,0001
2002-06-01,2454083.2,0,0001
2002-07-01,2457149.2,0,0001
2002-08-01,2453507.0,0,0001
2002-09-01,2447367.8,0,0001
2002-10-01,2442601.5,0,0001
2002-11-01,2438284.0,0,0001
2002-12-01,2436344.8,0,0001
2003-01-01,2441042.0,0,0001
2003-02-01,2438863.5,0,0001
2003-03-01,2435919.8,0,0001
2003-04-01,2439600.0,0,0001
2003-05-01,2445869.5,0,0001
2003-06-01,2452835.2,0,0001
2003-07-01,2453646.0,0,0001
2003-08-01,2450340.2,0,0001
2003-09-01,2441415.2,0,0001
2003-10-01,2437408.5,0,0001
2003-11-01,2434221.5,0,0001
2003-12-01,2438983.2,0,0001
2004-01-01,2442807.8,0,0001
2004-02-01,2441996.0,0,0001
2004-03-01,2437871.0,0,0001
2004-04-01,2441749.5,0,0001
2004-05-01,2448034.0,0,0001
