valid_time,fal,number,expver
2006-06-01,0.25021356,0,0001
2006-07-01,0.23751405,0,0001
2006-08-01,0.23971209,0,0001
2006-09-01,0.25295812,0,0001
2006-10-01,0.27097473,0,0001
2006-11-01,0.287621,0,0001
2006-12-01,0.28581947,0,0001
2007-01-01,0.28310314,0,0001
2007-02-01,0.28337368,0,0001
2007-03-01,0.28367135,0,0001
2007-04-01,0.28024068,0,0001
2007-05-01,0.2731177,0,0001
2007-06-01,0.25099775,0,0001
2007-07-01,0.23567262,0,0001
2007-08-01,0.23389015,0,0001
2007-09-01,0.24708852,0,0001
2007-10-01,0.2641387,0,0001
2007-11-01,0.28693146,0,0001
2007-12-01,0.2886478,0,0001
2008-01-01,0.28470856,0,0001
2008-02-01,0.28384167,0,0001
2008-03-01,0.28452238,0,0001
2008-04-01,0.28613013,0,0001
2008-05-01,0.27595845,0,0001
2008-06-01,0.25285837,0,0001
2008-07-01,0.23738582,0,0001
2008-08-01,0.23747301,0,0001
2008-09-01,0.24878936,0,0001
2008-10-01,0.26706594,0,0001
2008-11-01,0.2877869,0,0001
2008-12-01,0.28674936,0,0001
2009-01-01,0.28524768,0,0001
2009-02-01,0.28195372,0,0001
2009-03-01,0.28535077,0,0001
2009-04-01,0.28547108,0,0001
2009-05-01,0.27768484,0,0001
2009-06-01,0.2538247,0,0001
2009-07-01,0.23849015,0,0001
2009-08-01,0.23919888,0,0001
2009-09-01,0.2528121,0,0001
2009-10-01,0.26787218,0,0001
2009-11-01,0.28715855,0,0001
2009-12-01,0.28732052,0,0001
2010-01-01,0.28489798,0,0001
2010-02-01,0.28502867,0,0001
2010-03-01,0.2855623,0,0001
2010-04-01,0.28209877,0,0001
2010-05-01,0.2717022,0,0001
2010-06-01,0.25124907,0,0001
2010-07-01,0.23679173,0,0001
2010-08-01,0.23813829,0,0001
2010-09-01,0.24860914,0,0001
2010-10-01,0.2702468,0,0001
2010-11-01,0.28834093,0,0001
2010-12-01,0.29031932,0,0001
2011-01-01,0.28549466,0,0001
2011-02-01,0.2848482,0,0001
2011-03-01,0.28459522,0,0001
2011-04-01,0.2803668,0,0001
2011-05-01,0.27120346,0,0001
2011-06-01,0.25027007,0,0001
2011-07-01,0.23492604,0,0001
2011-08-01,0.23492295,0,0001
2011-09-01,0.24967836,0,0001
2011-10-01,0.2670789,0,0001
2011-11-01,0.28919622,0,0001
2011-12-01,0.28630903,0,0001
2012-01-01,0.28242186,0,0001
2012-02-01,0.28196776,0,0001
2012-03-01,0.2837378,0,0001
2012-04-01,0.28259507,0,0001
2012-05-01,0.2724957,0,0001
2012-06-01,0.2481992,0,0001
2012-07-01,0.23484936,0,0001
2012-08-01,0.2345563,0,0001
2012-09-01,0.24492034,0,0001
2012-10-01,0.2650996,0,0001
2012-11-01,0.2876974,0,0001
2012-12-01,0.28861052,0,0001
2013-01-01,0.28459823,0,0001
2013-02-01,0.28414002,0,0001
2013-03-01,0.2877603,0,0001
2013-04-01,0.286861,0,0001
2013-05-01,0.274446,0,0001
2013-06-01,0.2512813,0,0001
2013-07-01,0.23877507,0,0001
2013-08-01,0.24028882,0,0001
2013-09-01,0.253409,0,0001
2013-10-01,0.27592298,0,0001
2013-11-01,0.29036945,0,0001
2013-12-01,0.29098356,0,0001
2014-01-01,0.28407052,0,0001
2014-02-01,0.28356192,0,0001
2014-03-01,0.28324777,0,0001
2014-04-01,0.2854668,0,0001
2014-05-01,0.27675748,0,0001
2014-06-01,0.2541505,0,0001
2014-07-01,0.24028952,0,0001
2014-08-01,0.24119829,0,0001
2014-09-01,0.25391597,0,0001
2014-10-01,0.2755324,0,0001
2014-11-01,0.2924485,0,0001
2014-12-01,0.2898955,0,0001
2015-01-01,0.28532672,0,0001
2015-02-01,0.28248864,0,0001
2015-03-01,0.2838861,0,0001
2015-04-01,0.28472918,0,0001
2015-05-01,0.2763472,0,0001
2015-06-01,0.25259182,0,0001
2015-07-01,0.23734154,0,0001
2015-08-01,0.23683621,0,0001
2015-09-01,0.25035754,0,0001
2015-10-01,0.2728605,0,0001
2015-11-01,0.29035258,0,0001
2015-12-01,0.28665993,0,0001
2016-01-01,0.28380623,0,0001
2016-02-01,0.27948573,0,0001
2016-03-01,0.2805606,0,0001
2016-04-01,0.27997133,0,0001
2016-05-01,0.27003804,0,0001
2016-06-01,0.24911717,0,0001
2016-07-01,0.23519309,0,0001
2016-08-01,0.23285924,0,0001
2016-09-01,0.24231054,0,0001
2016-10-01,0.2645951,0,0001
2016-11-01,0.2806354,0,0001
2016-12-01,0.2822796,0,0001
2017-01-01,0.28145945,0,0001
2017-02-01,0.28203902,0,0001
2017-03-01,0.28076628,0,0001
2017-04-01,0.28015736,0,0001
2017-05-01,0.2727743,0,0001
2017-06-01,0.25040153,0,0001
2017-07-01,0.23597887,0,0001
2017-08-01,0.23316938,0,0001
2017-09-01,0.2456028,0,0001
2017-10-01,0.2692247,0,0001
2017-11-01,0.28648868,0,0001
2017-12-01,0.28373396,0,0001
2018-01-01,0.28015217,0,0001
2018-02-01,0.27978793,0,0001
